Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
Sparse Wide GPT-3 Small,Cerebras Systems,United States of America,Anglosphere,Era LLM (2023-2026),Language,0.902890939918048,-0.3678561780373456,0.55411947,26.609861
PanGu-Σ,Huawei Noah's Ark Lab,China,China,Era LLM (2023-2026),Language,2.295234442218,0.3425320899562624,7.3799877,29.546602
GPT-4 (Mar 2023),OpenAI,United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,2.6233722780952853,2.226780136570537,32.4813,8.281398
Falcon-40B,Technology Innovation Institute,United Arab Emirates,Medio Oriente,Era LLM (2023-2026),Language,2.0841803829027765,-1.4832717897698766,5.0745597,-6.317907
GPT-4 (Jun 2023),OpenAI,United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,2.6233722780952853,2.226780136570537,32.4813,8.281398
VALL-E X,Microsoft,United States of America,Anglosphere,Era LLM (2023-2026),Speech,0.09763637621048613,1.0589190603562328,-6.748332,3.448539
AudioGen,"Meta AI,Hebrew University of Jerusalem",United States of America,Anglosphere,Era LLM (2023-2026),Audio,1.4198847750316204,0.8437627670347544,8.454278,2.7095025
DiT-XL/2,"New York University (NYU),University of California (UC) Berkeley",United States of America,Anglosphere,Era LLM (2023-2026),Image generation,0.5314251092616199,-0.3348140286200326,16.841763,12.672879
LLaMA-13B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.875338262110054,1.3596299669391567,15.39514,-1.2702423
LLaMA-33B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.0512264327760446,1.3902803684429221,15.739599,-1.6724418
LLaMA-65B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.169212335475302,1.4109286750472758,15.940129,-1.9416723
LLaMA-7B,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.7629487609179681,1.3399614490892755,15.013122,-0.97950196
Hyena 1.3B,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",United States of America,Anglosphere,Era LLM (2023-2026),Language,0.124543892959565,-1.6767090214601859,-14.258834,-22.3297
Hyena-2 355M,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",United States of America,Anglosphere,Era LLM (2023-2026),Language,-0.026031966590379516,-1.7035025140196784,-14.303654,-21.73884
Hyena-2 153M,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",United States of America,Anglosphere,Era LLM (2023-2026),Language,0.2246776380325851,-1.612679817650993,-3.7466059,-12.326854
ViT-22B,Google,United States of America,Anglosphere,Era LLM (2023-2026),Vision,1.0329254497012073,1.7270855450724791,-24.767664,20.413551
